constituency;gss_code;three_code;nation;region;con_type;electorate;area;density;center_lat;center_lon
Rother Valley;E14001451;RHV;England;Yorkshire and the Humber;county;70184;159,4693425;440,1096718;53,37281257;-1,235318838
Rotherham;E14001452;RHM;England;Yorkshire and the Humber;borough;75345;58,38415085;1290,504339;53,4283357;-1,357010021
Rugby;E14001453;RUG;England;West Midlands;county;72603;244,627939;296,7894849;52,42448741;-1,335328747
Ruislip, Northwood and Pinner;E14001454;RNP;England;London;borough;72168;40,44981204;1784,136844;51,59777602;-0,426345894
Runcorn and Helsby;E14001455;RAH;England;North West;county;70950;203,63435;348,4186239;53,27889973;-2,759798313
Runnymede and Weybridge;E14001456;RUN;England;South East;county;73778;102,1693725;722,1146436;51,36186679;-0,46936873
Rushcliffe;E14001457;RCF;England;East Midlands;county;76171;289,7127608;262,9190367;52,87423616;-1,089740239
Rutherglen;S14000104;RGN;Scotland;Scotland;borough;71612;41,46710695;1726,959156;55,81268314;-4,135906751
Rutland and Stamford;E14001458;RUT;England;East Midlands;county;70864;960,0572818;73,8122624;52,68449397;-0,655618247
Salford;E14001459;SFD;England;North West;borough;72169;27,73477183;2602,112627;53,49797497;-2,300277538
Salisbury;E14001460;SAL;England;South West;county;70242;692,9113371;101,372277;51,05786905;-1,894607417
Scarborough and Whitby;E14001461;SAW;England;Yorkshire and the Humber;county;73862;745,9981132;99,01097428;54,38640105;-0,668177352
Scunthorpe;E14001462;SCU;England;Yorkshire and the Humber;county;74278;298,8961857;248,5076878;53,57769021;-0,60951082
Sefton Central;E14001463;SEF;England;North West;county;74746;103,8163457;719,9829612;53,5344868;-3,024182054
Selby;E14001464;SBY;England;Yorkshire and the Humber;county;74761;507,468406;147,3214867;53,76395468;-1,126531512
Sevenoaks;E14001465;SEV;England;South East;county;73684;253,8915332;290,2184216;51,31342886;0,18025936
Sheffield Brightside and Hillsborough;E14001466;SBH;England;Yorkshire and the Humber;borough;71154;28,34315997;2510,446968;53,41506411;-1,46782241
Sheffield Central;E14001467;SCE;England;Yorkshire and the Humber;borough;70453;12,67159734;5559,914674;53,37726764;-1,48705531
Sheffield Hallam;E14001468;SHA;England;Yorkshire and the Humber;county;76637;136,4299584;561,7314619;53,38169679;-1,5889926
Sheffield Heeley;E14001469;SHE;England;Yorkshire and the Humber;borough;74614;27,94047704;2670,462637;53,34972979;-1,458164388
Sheffield South East;E14001470;SSE;England;Yorkshire and the Humber;borough;76223;47,04710669;1620,142138;53,36380634;-1,386088234
Sherwood Forest;E14001471;SWF;England;East Midlands;county;76543;309,8754211;247,0121694;53,11436795;-1,07124677
Shipley;E14001472;SHY;England;Yorkshire and the Humber;county;74095;94,89701413;780,7937971;53,85027974;-1,823027923
Shrewsbury;E14001473;SHR;England;West Midlands;county;75139;333,879244;225,048431;52,70825584;-2,844654338
Sittingbourne and Sheppey;E14001474;SAS;England;South East;county;76818;206,2183251;372,5081171;51,38430794;0,772144164
Skipton and Ripon;E14001475;SAR;England;Yorkshire and the Humber;county;76758;2032,808416;37,75958393;54,08637843;-1,974695496
Sleaford and North Hykeham;E14001476;SLR;England;East Midlands;county;73380;718,8803012;102,0754079;53,10806615;-0,461695038
Slough;E14001477;SLO;England;South East;borough;75287;24,62585049;3057,234512;51,51477256;-0,605645562
Smethwick;E14001478;SMK;England;West Midlands;borough;71195;21,79096528;3267,179727;52,4859144;-1,993745655
Solihull West and Shirley;E14001479;SWS;England;West Midlands;borough;70537;39,1951309;1799,636801;52,40110486;-1,81372923
South Antrim;N05000014;SAN;Northern Ireland;Northern Ireland;county;71646;795,4942882;90,0647573;54,68804207;-6,201791498
South Basildon and East Thurrock;E14001480;SBT;England;Eastern;county;73322;134,6811756;544,4116423;51,52328113;0,426181126
South Cambridgeshire;E14001481;SCB;England;Eastern;county;75484;588,9495142;128,1671827;52,12593054;0,115493849
South Cotswolds;E14001482;SCT;England;South West;county;72865;838,3515284;86,91461461;51,6139607;-2,051992923
South Derbyshire;E14001483;SDE;England;East Midlands;county;71202;290,9201181;244,7475976;52,82203078;-1,540032031
South Devon;E14001484;SDV;England;South West;county;71691;648,8524795;110,4889051;50,36560916;-3,740506885
South Dorset;E14001485;SDS;England;South West;county;76640;367,6204336;208,475898;50,65002658;-2,211617326
South Down;N05000015;SDW;Northern Ireland;Northern Ireland;county;71772;1122,075241;63,96362506;54,23029884;-6,048330469
South East Cornwall;E14001486;SEC;England;South West;county;71734;727,5264351;98,59985362;50,43731843;-4,443482525
South Holland and The Deepings;E14001487;SHD;England;East Midlands;county;76139;844,2724853;90,18296975;52,79353939;-0,041018962
South Leicestershire;E14001488;SLE;England;East Midlands;county;75634;331,6937984;228,0235578;52,50689169;-1,177598395
South Norfolk;E14001489;SNF;England;Eastern;county;69837;523,2385497;133,4706704;52,54761142;1,33270207
South Northamptonshire;E14001490;SNH;England;East Midlands;county;76555;633,2283092;120,8963637;52,12808383;-1,005508953
